web-scraper-order,web-scraper-start-url,product_name,test_methodology,price,price-href,release_year,neutral_sound,wireless_gaming,headphone_type,comfort,weight,controls_rating,os_compatibility,controls_ease_of_use,breathability,portability,build_quality,frequency_response_consistency,frc_std,peaks_dips,imaging,battery,app_support,ios_support,android_support,macos_support,windows_support,bluetooth_rating,bluetooth_version,latency_aptx,latency_sbc,aac_support,brand_name
"1702359442-11","https://www.rtings.com/headphones/tools/table/126803","Sennheiser MOMENTUM 4 Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0B6GHW1SX?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.3","5.9","Over-ear","7.5","0.65 lbs","8.1","Not OS specific","Good","","6.0","8.0","7.1","0.6 dB","7.7","8.8","9.5","8.5","Yes","Yes","No","No","7.8","5.2","265 ms","271 ms","Yes","Sennheiser"
"1702359442-12","https://www.rtings.com/headphones/tools/table/126803","Sennheiser ACCENTUM Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0CHFJJNZ7?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.4","5.8","Over-ear","7.0","0.49 lbs","8.2","Not OS specific","Great","","6.0","7.5","7.0","0.61 dB","7.1","8.1","8.7","8.5","Yes","Yes","No","No","8.1","5.2","261 ms","273 ms","Yes","Sennheiser"
"1702359442-13","https://www.rtings.com/headphones/tools/table/126803","Logitech G PRO X 2 LIGHTSPEED Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0B3F8V4JG?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.8","8.0","Over-ear","8.0","0.77 lbs","5.8","Not OS specific","Great","","5.5","8.0","6.8","0.67 dB","7.1","8.5","9.7","9.0","No","No","Yes","Yes","7.2","Unspecified","N/A","139 ms","No","Logitech"
"1702359442-14","https://www.rtings.com/headphones/tools/table/126803","Bose QuietComfort Ultra Earbuds Truly Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0CD2FSRDD?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.3","5.7","Earbuds","8.0","0.03 lbs","7.7","Not OS specific","Good","","9.5","7.5","8.3","0.33 dB","7.3","9.1","7.2","8.0","Yes","Yes","No","No","7.0","5.3","N/A","292 ms","Yes","Bose"
"1702359442-15","https://www.rtings.com/headphones/tools/table/126803","HyperX Cloud III Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0CBQYKFR2?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.6","7.7","Over-ear","8.0","0.73 lbs","5.7","Not OS specific","Good","","5.6","8.0","5.6","1.11 dB","7.4","9.2","8.9","7.0","No","No","No","Yes","0.0","No Bluetooth","N/A","N/A","","HyperX"
"1702359442-16","https://www.rtings.com/headphones/tools/table/126803","SteelSeries Arctis Nova 7 Wireless [7, 7P, 7X]","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0B8QP5BGD?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.6","7.6","Over-ear","7.5","0.72 lbs","7.6","Not OS specific","Good","","5.9","7.5","5.3","1.42 dB","6.3","7.6","9.3","8.5","No","No","Yes","Yes","7.9","5.010","N/A","235 ms","No","SteelSeries"
"1702359442-17","https://www.rtings.com/headphones/tools/table/126803","Apple AirPods Pro (2nd generation) Truly Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0BDHWDR12?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.4","5.8","In-ear","7.5","0.02 lbs","8.2","Not OS specific","Good","","9.6","8.0","9.3","0.15 dB","8.1","9.3","7.0","6.5","Yes","No","Yes","No","8.0","5.3+H2 chip","N/A","160 ms","Yes","Apple"
"1702359442-18","https://www.rtings.com/headphones/tools/table/126803","Google Pixel Buds Pro Truly Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0CCJZW1JZ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.4","5.5","In-ear","7.0","0.03 lbs","7.7","Not OS specific","Good","","9.6","7.5","9.0","0.21 dB","7.1","7.9","6.5","7.5","No","Yes","No","No","7.4","5.010","N/A","338 ms","Yes","Google"
"1702359442-19","https://www.rtings.com/headphones/tools/table/126803","JBL Vibe Beam True Wireless","v1.5","SEARCH","https://www.amazon.com/s?k=JBL+Vibe+Beam&tag=rtings-20&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.4","5.8","In-ear","6.5","0.02 lbs","7.5","Not OS specific","Good","","9.5","7.5","8.1","0.38 dB","8.4","8.4","7.7","8.5","Yes","Yes","No","No","6.7","5.2","N/A","398 ms","","JBL"
"1702359442-20","https://www.rtings.com/headphones/tools/table/126803","EarFun Air Pro 3 True Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0BNNMYSGQ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","6.2","5.5","In-ear","7.5","0.02 lbs","7.7","Not OS specific","Good","","9.4","7.5","9.3","0.14 dB","7.1","7.8","7.1","7.5","Yes","Yes","No","No","7.9","5.3","N/A","163 ms","Yes","EarFun"
"1702359442-21","https://www.rtings.com/headphones/tools/table/126803","Bose QuietComfort 35 II Gaming Headset​","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B08DVCNYJC?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","8.1","6.5","Over-ear","8.5","0.55 lbs","7.6","Not OS specific","Good","","6.4","7.5","8.3","0.34 dB","8.4","9.1","9.3","7.5","Yes","Yes","No","No","6.9","4.1","N/A","235 ms","Yes","Bose"
"1702359442-22","https://www.rtings.com/headphones/tools/table/126803","Sony PULSE 3D Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0BF18LYK1?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.3","7.1","Over-ear","6.0","0.65 lbs","6.4","Not OS specific","Decent","","5.3","7.0","7.1","0.58 dB","7.0","8.3","7.3","7.0","No","No","No","No","0.0","No Bluetooth","N/A","N/A","No","Sony"
"1702359442-23","https://www.rtings.com/headphones/tools/table/126803","Bose QuietComfort Earbuds II Truly Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0BS1VW66L?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.3","5.7","Earbuds","8.0","0.03 lbs","7.7","Not OS specific","Good","","9.4","7.5","9.4","0.12 dB","7.3","8.7","7.1","8.0","Yes","Yes","No","No","7.5","5.3","N/A","255 ms","Yes","Bose"
"1702359442-24","https://www.rtings.com/headphones/tools/table/126803","Samsung Galaxy Buds2 Pro True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0B2SH56BZ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.1","5.5","In-ear","7.5","0.02 lbs","7.6","Not OS specific","Decent","","9.5","7.5","8.6","0.29 dB","8.3","8.6","5.9","7.5","No","Yes","No","Yes","7.1","5.3","N/A","250 ms","","Samsung"
"1702359442-25","https://www.rtings.com/headphones/tools/table/126803","Bose QuietComfort 45/QC45 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0B7KCN31G?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.6","6.2","Over-ear","8.5","0.52 lbs","8.1","Not OS specific","Good","","6.6","7.5","7.7","0.46 dB","8.6","6.5","8.5","8.0","Yes","Yes","No","No","8.5","5.1","N/A","180 ms","","Bose"
"1702359442-26","https://www.rtings.com/headphones/tools/table/126803","Sony WF-1000XM5 Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0C33XXS56?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.1","5.7","In-ear","7.5","0.03 lbs","7.7","Not OS specific","Good","","9.4","7.5","8.7","0.26 dB","7.8","6.3","7.7","8.0","Yes","Yes","No","No","8.5","5.3","N/A","216 ms","","Sony"
"1702359442-27","https://www.rtings.com/headphones/tools/table/126803","Bowers & Wilkins Pi7 S2 True Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0BQTDSXFD?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","6.6","6.0","In-ear","7.0","0.03 lbs","5.8","Not OS specific","Good","","9.5","8.0","9.3","0.15 dB","7.8","8.2","5.8","7.0","Yes","Yes","No","No","6.7","5.010","279 ms","287 ms","Yes","Bowers & Wilkins"
"1702359442-28","https://www.rtings.com/headphones/tools/table/126803","Jabra Elite 10 True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0CB92TYFS?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.4","5.9","In-ear","7.5","0.03 lbs","8.0","Not OS specific","Decent","","9.6","8.0","8.1","0.37 dB","7.1","8.7","7.5","8.0","Yes","Yes","No","No","8.4","5.3","N/A","263 ms","","Jabra"
"1702359442-29","https://www.rtings.com/headphones/tools/table/126803","Devialet Gemini II True Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0CFGCSZHQ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.3","5.9","In-ear","7.5","0.03 lbs","7.4","Not OS specific","Good","","9.6","8.0","9.0","0.2 dB","8.8","6.2","6.7","8.0","Yes","Yes","No","No","8.3","5.2","217 ms","271 ms","Yes","Devialet"
"1702359442-30","https://www.rtings.com/headphones/tools/table/126803","Bose QuietComfort Ultra Headphones Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0CCZ1L489?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.4","6.1","Over-ear","8.5","0.56 lbs","7.6","Not OS specific","Decent","","6.4","8.0","7.1","0.59 dB","7.5","7.9","8.2","8.0","Yes","Yes","No","No","7.5","5.3","N/A","292 ms","Yes","Bose"
"1702359442-31","https://www.rtings.com/headphones/tools/table/126803","Samsung Galaxy Buds FE Truly Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0CF7GYNW2?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.6","5.9","In-ear","8.0","0.02 lbs","6.2","Not OS specific","Decent","","9.6","7.5","8.3","0.33 dB","8.5","8.5","6.1","7.5","No","Yes","No","Yes","7.5","5.2","N/A","246 ms","Yes","Samsung"
"1702359442-32","https://www.rtings.com/headphones/tools/table/126803","Sony WF-1000XM4 Truly Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B094C4VDJZ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","6.5","5.4","In-ear","7.0","0.03 lbs","6.3","Not OS specific","Good","9.2","9.4","8.0","9.2","0.16 dB","8.3","9.5","8.0","8.0","Yes","Yes","No","No","8.4","5.2","N/A","259 ms","Yes","Sony"
"1702359442-33","https://www.rtings.com/headphones/tools/table/126803","Raycon The Fitness Earbuds (2021 Edition) True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0C1LCYRJ9?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","6.0","5.2","In-ear","7.5","0.02 lbs","7.3","Not OS specific","Good","9.2","9.4","7.5","9.2","0.17 dB","6.9","8.9","7.1","0.0","No","No","No","No","6.7","5.0","N/A","241 ms","","Raycon"
"1702359442-34","https://www.rtings.com/headphones/tools/table/126803","Anker Soundcore Space A40 Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0B1LVC5VZ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","6.8","5.5","In-ear","7.5","0.02 lbs","7.6","Not OS specific","Decent","","9.4","7.5","9.0","0.21 dB","7.5","9.1","7.7","8.0","Yes","Yes","No","No","8.4","5.2","N/A","249 ms","","Anker"
"1702359442-35","https://www.rtings.com/headphones/tools/table/126803","Samsung Galaxy Buds2 Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B094242FV1?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.4","5.7","In-ear","7.5","0.02 lbs","6.2","Not OS specific","Decent","9.2","9.5","7.5","9.3","0.15 dB","7.3","9.2","5.9","7.5","No","Yes","No","Yes","7.3","5.2","N/A","250 ms","","Samsung"
"1702359442-36","https://www.rtings.com/headphones/tools/table/126803","Bose QuietComfort Earbuds Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B096SBSTFL?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.6","5.8","Earbuds","7.0","0.03 lbs","7.2","Not OS specific","Okay","9.2","9.2","8.0","9.4","0.13 dB","8.1","8.6","7.1","8.0","Yes","Yes","No","No","7.1","5.1","N/A","172 ms","","Bose"
"1702359442-37","https://www.rtings.com/headphones/tools/table/126803","Sony WH-1000XM3 Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B07G4MNFS1?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2018","7.4","6.0","Over-ear","8.0","0.6 lbs","7.6","Not OS specific","Good","6.5","6.0","8.0","8.3","0.34 dB","7.5","7.8","7.6","8.5","Yes","Yes","No","No","7.1","4.2","201 ms","225 ms","Yes","Sony"
"1702359442-38","https://www.rtings.com/headphones/tools/table/126803","Logitech G PRO X WIRELESS LIGHTSPEED Gaming Headset","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B081PP4CB6?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.8","7.8","Over-ear","8.0","0.83 lbs","5.8","Not OS specific","Great","5.5","5.6","7.5","6.3","0.82 dB","7.3","8.8","8.4","9.0","No","No","Yes","Yes","0.0","No Bluetooth","N/A","N/A","No","Logitech"
"1702359442-39","https://www.rtings.com/headphones/tools/table/126803","Bang & Olufsen Beoplay Portal","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B08W8T6HWZ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.0","7.2","Over-ear","7.5","0.62 lbs","8.3","Not OS specific","Decent","7.1","5.8","8.0","6.7","0.69 dB","7.0","7.1","7.7","8.5","Yes","Yes","No","No","7.7","5.1","265 ms","270 ms","Yes","Bang & Olufsen"
"1702359442-40","https://www.rtings.com/headphones/tools/table/126803","Logitech G435 LIGHTSPEED Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B08R8DT7X6?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.8","7.0","Over-ear","7.5","0.35 lbs","5.6","Not OS specific","Decent","","5.8","6.5","6.2","0.86 dB","7.3","8.1","8.5","0.0","No","No","No","No","8.0","Unspecified","N/A","113 ms","Yes","Logitech"
"1702359442-41","https://www.rtings.com/headphones/tools/table/126803","Logitech G535 LIGHTSPEED Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B08KY2WFGP?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","8.0","7.5","Over-ear","7.5","0.5 lbs","5.6","Not OS specific","Good","","5.5","7.0","6.6","0.73 dB","7.6","8.3","8.8","8.0","No","No","Yes","Yes","0.0","No Bluetooth","N/A","N/A","No","Logitech"
"1702359442-42","https://www.rtings.com/headphones/tools/table/126803","HyperX Cloud Alpha Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B09TRW57WB?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.3","7.5","Over-ear","8.0","0.72 lbs","5.7","Not OS specific","Good","","5.6","8.0","6.6","0.72 dB","6.7","8.5","9.0","6.0","No","No","No","Yes","0.0","No Bluetooth","N/A","N/A","No","HyperX"
"1702359442-43","https://www.rtings.com/headphones/tools/table/126803","SteelSeries Arctis Nova Pro Wireless [PC, PS, Xbox]","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B09ZWCYQTX?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","6.9","7.5","Over-ear","7.0","0.75 lbs","8.5","Not OS specific","Decent","","6.0","8.0","7.8","0.44 dB","5.7","8.5","8.7","8.5","No","No","Yes","Yes","6.9","5.010","N/A","236 ms","No","SteelSeries"
"1702359442-44","https://www.rtings.com/headphones/tools/table/126803","Razer Barracuda Pro Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B09Z1KLJ7L?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.6","7.6","Over-ear","7.5","0.75 lbs","8.1","Not OS specific","Good","","5.8","7.5","7.1","0.6 dB","7.5","8.5","8.6","8.5","Yes","Yes","No","Yes","8.7","5.2","N/A","113 ms","Yes","Razer"
"1702359442-45","https://www.rtings.com/headphones/tools/table/126803","Focal Bathys Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0B93YKQT3?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.4","5.8","Over-ear","7.5","0.79 lbs","7.6","Not OS specific","Good","","5.7","8.0","8.1","0.38 dB","7.0","9.0","7.9","7.0","Yes","Yes","No","No","8.0","5.1","289 ms","283 ms","Yes","Focal"
"1702359442-46","https://www.rtings.com/headphones/tools/table/126803","Audeze Maxwell Wireless","v1.6","SEE PRICE","http://www.amazon.com/gp/product/B0BP6BC17P?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.9","7.8","Over-ear","7.0","1.07 lbs","7.6","Not OS specific","Good","","5.3","8.0","6.4","0.77 dB","8.4","5.7","9.0","7.0","Yes","Yes","Yes","Yes","8.9","5.3","N/A","186 ms","Yes","Audeze"
"1702359442-47","https://www.rtings.com/headphones/tools/table/126803","Jabra Elite 7 Pro True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09FVS676F?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.8","6.1","In-ear","7.5","0.03 lbs","8.1","Not OS specific","Decent","","9.6","7.5","9.1","0.19 dB","9.0","8.9","7.7","8.0","Yes","Yes","No","No","8.5","5.2","N/A","234 ms","","Jabra"
